time: 0.245737 	 V: 5.9341 	 T: 27.77
time: 0.246746 	 V: 5.9341 	 T: 27.77
time: 0.247749 	 V: 6.6184 	 T: 27.77
time: 0.248759 	 V: 6.6184 	 T: 27.77
time: 0.249762 	 V: 5.9341 	 T: 27.77
time: 0.250836 	 V: 6.6184 	 T: 27.77
time: 0.251854 	 V: 7.2382 	 T: 27.77
time: 0.252859 	 V: 6.6184 	 T: 27.77
time: 0.253862 	 V: 6.6184 	 T: 27.77
time: 0.254870 	 V: 5.9341 	 T: 27.77
time: 0.255874 	 V: 6.6184 	 T: 27.77
time: 0.256880 	 V: 5.9341 	 T: 27.77
time: 0.257883 	 V: 6.6184 	 T: 27.77
time: 0.258888 	 V: 6.6184 	 T: 27.77
time: 0.259893 	 V: 5.9341 	 T: 27.77
time: 0.260897 	 V: 7.2382 	 T: 27.77
time: 0.261915 	 V: 6.6184 	 T: 27.77
time: 0.262920 	 V: 6.6184 	 T: 27.77
time: 0.263919 	 V: 5.9341 	 T: 27.77
time: 0.264993 	 V: 6.6184 	 T: 27.77
time: 0.265992 	 V: 5.9341 	 T: 27.77
time: 0.267006 	 V: 6.6184 	 T: 27.77
time: 0.268009 	 V: 6.6184 	 T: 27.77
time: 0.269014 	 V: 5.9341 	 T: 27.77
time: 0.270015 	 V: 6.6184 	 T: 27.77
time: 0.271024 	 V: 7.2382 	 T: 27.77
time: 0.272044 	 V: 6.6184 	 T: 27.77
time: 0.273050 	 V: 6.6184 	 T: 27.77
time: 0.274051 	 V: 7.2382 	 T: 27.77
time: 0.275055 	 V: 6.6184 	 T: 27.77
time: 0.276059 	 V: 6.6184 	 T: 27.77
time: 0.277061 	 V: 6.6184 	 T: 27.77
time: 0.278066 	 V: 5.9341 	 T: 27.77
time: 0.279133 	 V: 6.6184 	 T: 27.77
time: 0.280139 	 V: 5.9341 	 T: 27.77
time: 0.281156 	 V: 6.6184 	 T: 27.77
time: 0.282161 	 V: 5.9341 	 T: 27.77
time: 0.283164 	 V: 6.6184 	 T: 27.77
time: 0.284168 	 V: 6.6184 	 T: 27.77
time: 0.285175 	 V: 6.6184 	 T: 27.77
time: 0.286182 	 V: 5.1599 	 T: 27.77
time: 0.287186 	 V: 5.9341 	 T: 27.77
time: 0.288194 	 V: 5.9341 	 T: 27.77
time: 0.289195 	 V: 5.9341 	 T: 27.77
time: 0.290197 	 V: 5.1599 	 T: 27.77
time: 0.291216 	 V: 5.9341 	 T: 27.77
time: 0.292218 	 V: 5.9341 	 T: 27.77
time: 0.293289 	 V: 5.1599 	 T: 27.77
time: 0.294293 	 V: 6.6184 	 T: 27.77
time: 0.295292 	 V: 5.9341 	 T: 27.77
time: 0.296296 	 V: 5.1599 	 T: 27.77
time: 0.297298 	 V: 5.1599 	 T: 27.77
time: 0.298301 	 V: 5.1599 	 T: 27.77
time: 0.299303 	 V: 5.1599 	 T: 27.77
time: 0.300305 	 V: 5.9341 	 T: 27.77
time: 0.301325 	 V: 5.9341 	 T: 27.77
time: 0.302332 	 V: 5.9341 	 T: 27.77
time: 0.303338 	 V: 5.1599 	 T: 27.77
time: 0.304341 	 V: 5.1599 	 T: 27.77
time: 0.305343 	 V: 5.1599 	 T: 27.77
time: 0.306345 	 V: 5.1599 	 T: 27.77
time: 0.307415 	 V: 5.1599 	 T: 27.77
time: 0.308416 	 V: 5.9341 	 T: 27.77
time: 0.309421 	 V: 5.9341 	 T: 27.77
time: 0.310430 	 V: 5.1599 	 T: 27.77
time: 0.311448 	 V: 5.9341 	 T: 27.77
time: 0.312426 	 V: 5.9341 	 T: 27.77
time: 0.313416 	 V: 5.9341 	 T: 27.77
time: 0.314395 	 V: 5.9341 	 T: 27.77
time: 0.315377 	 V: 5.9341 	 T: 27.77
time: 0.316361 	 V: 5.9341 	 T: 27.77
time: 0.317347 	 V: 5.1599 	 T: 27.77
time: 0.318329 	 V: 5.9341 	 T: 27.77
time: 0.319313 	 V: 5.9341 	 T: 27.77
time: 0.320295 	 V: 5.9341 	 T: 27.77
time: 0.321365 	 V: 5.9341 	 T: 27.77
time: 0.322369 	 V: 5.9341 	 T: 27.77
time: 0.323375 	 V: 5.1599 	 T: 27.77
time: 0.324376 	 V: 5.9341 	 T: 27.77
time: 0.325387 	 V: 5.9341 	 T: 27.77
time: 0.326388 	 V: 5.9341 	 T: 27.77
time: 0.327392 	 V: 5.1599 	 T: 27.77
time: 0.328396 	 V: 6.6184 	 T: 27.77
time: 0.329395 	 V: 6.6184 	 T: 27.77
time: 0.330399 	 V: 5.9341 	 T: 27.77
time: 0.331426 	 V: 5.9341 	 T: 27.77
time: 0.332431 	 V: 5.9341 	 T: 27.77
time: 0.333436 	 V: 5.9341 	 T: 27.77
time: 0.334440 	 V: 5.9341 	 T: 27.67
time: 0.335514 	 V: 5.1599 	 T: 27.67
time: 0.336517 	 V: 5.1599 	 T: 27.67
time: 0.337525 	 V: 5.9341 	 T: 27.67
time: 0.338531 	 V: 5.1599 	 T: 27.67
time: 0.339539 	 V: 5.9341 	 T: 27.67
time: 0.340541 	 V: 5.9341 	 T: 27.67
time: 0.341560 	 V: 5.9341 	 T: 27.67
time: 0.342565 	 V: 5.9341 	 T: 27.67
time: 0.343571 	 V: 5.1599 	 T: 27.67
time: 0.344577 	 V: 5.9341 	 T: 27.67
time: 0.345579 	 V: 5.1599 	 T: 27.67
time: 0.346582 	 V: 5.1599 	 T: 27.67
time: 0.347586 	 V: 5.9341 	 T: 27.67
time: 0.348588 	 V: 5.9341 	 T: 27.67
time: 0.349664 	 V: 5.9341 	 T: 27.67
time: 0.350665 	 V: 5.9341 	 T: 27.67
time: 0.351715 	 V: 5.9341 	 T: 27.67
time: 0.352706 	 V: 5.9341 	 T: 27.67
time: 0.353689 	 V: 5.1599 	 T: 27.67
time: 0.354672 	 V: 5.9341 	 T: 27.67
time: 0.355656 	 V: 6.6184 	 T: 27.67
time: 0.356638 	 V: 5.9341 	 T: 27.67
time: 0.357619 	 V: 6.6184 	 T: 27.67
time: 0.358602 	 V: 5.9341 	 T: 27.67
time: 0.359584 	 V: 5.9341 	 T: 27.67
time: 0.360566 	 V: 6.6184 	 T: 27.67
time: 0.361584 	 V: 5.9341 	 T: 27.67
time: 0.362583 	 V: 5.1599 	 T: 27.67
time: 0.363664 	 V: 6.6184 	 T: 27.67
time: 0.364667 	 V: 6.6184 	 T: 27.67
time: 0.365673 	 V: 6.6184 	 T: 27.67
time: 0.366673 	 V: 5.9341 	 T: 27.67
time: 0.367677 	 V: 6.6184 	 T: 27.67
time: 0.368679 	 V: 5.9341 	 T: 27.67
time: 0.369683 	 V: 5.9341 	 T: 27.67
time: 0.370685 	 V: 5.9341 	 T: 27.67
time: 0.371706 	 V: 5.9341 	 T: 27.67
time: 0.372715 	 V: 5.9341 	 T: 27.67
time: 0.373726 	 V: 5.9341 	 T: 27.67
time: 0.374729 	 V: 5.1599 	 T: 27.67
time: 0.375734 	 V: 5.9341 	 T: 27.67
time: 0.376741 	 V: 5.1599 	 T: 27.67
time: 0.377815 	 V: 5.9341 	 T: 27.67
time: 0.378812 	 V: 5.9341 	 T: 27.67
time: 0.379816 	 V: 6.6184 	 T: 27.67
time: 0.380819 	 V: 5.9341 	 T: 27.67
time: 0.381822 	 V: 5.9341 	 T: 27.67
